ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
21112394761,Oleh oleh Umroh dan Haji Premium / Paket Oleh oleh Umroh dan Haji / Sajadah Paperbag Kurma Ajwa Air zam zam asli 100%,Rp119.000,"18,4RB",kurma.aqla,8%,Rp9.520,https://shopee.co.id/product/184327719/21112394761,https://s.shopee.co.id/1LQ17kPxmP
20937890889,Kaos Kaki Wudhu Wanita Muslimah Praktis Haji dan Umroh Hiban Store,Rp24.300,"9,5RB",hiban.store,12%,Rp2.916,https://shopee.co.id/product/137867791/20937890889,https://s.shopee.co.id/1qMHifO3lW
16397596280,Paket Oleh-Oleh Haji dan Umroh paket dus teng-teng / Hampers kemasan premium,Rp5.900,"144,5RB",PUSAT OLEH-OLEH UMROH,12%,Rp708,https://shopee.co.id/product/430034818/16397596280,https://s.shopee.co.id/1g2rWMOh6V
19782371782,Kaos Kaki Wudhu Muslimah / Kaos Kaki Wanita Muslim / Kaus Kaki Wudhu Jempol Instan Haji Umroh / TV-78,Rp6.499,"3,3RB",Sheyla Store,6%,Rp390,https://shopee.co.id/product/61501315/19782371782,https://s.shopee.co.id/8pW23WxPYu
19960263883,Oleh Oleh Haji dan Umroh Paket 50 pcs | Paket Oleh Oleh Haji Hemat Ekonomis,Rp390.000,"1,6RB",Kurma_Shope 01,2%,Rp7.800,https://shopee.co.id/product/257907165/19960263883,https://s.shopee.co.id/8fCbrDy2tt
23930310621,Sarung Tangan Panjang Wanita Haji dan Umroh Hiban Store,Rp34.500,"6,6RB",hiban.store,12%,Rp4.140,https://shopee.co.id/product/137867791/23930310621,https://s.shopee.co.id/9A8sS8w8t0
19372390403,handsock cincin renda SAFA/ handsock cincin umroh & haji,Rp11.550,"35,2RB",Sabillah project,8%,Rp924,https://shopee.co.id/product/101219501/19372390403,https://s.shopee.co.id/8zpSFpwmDz
23270687013,oleh oleh haji dan umroh tas hemat,Rp11.000,"41,4RB",4fk_lahkex,2%,Rp220,https://shopee.co.id/product/773534605/23270687013,https://s.shopee.co.id/8AGLGIzwuq
19089247910,Celana Ihram Ihrom Wanita Panjang Bahan Katun Putih Polos renda Perlengkapan Ibadah Haji dan Umroh,Rp39.900,"1,2RB",ARMUNA_,12%,Rp4.788,https://shopee.co.id/product/1007852589/19089247910,https://s.shopee.co.id/7zwv400aFp
21381185543,"KAOS KAKI WUDHU JEMPOL ANTI SLIP ANTI LICIN , KAOS KAKI UMROH DAN HAJI kode K-18",Rp19.110,"2,4RB",NR MOSLEM WEAR,7%,Rp1.338,https://shopee.co.id/product/127995321/21381185543,https://s.shopee.co.id/8UtBeuygEw
18337562902,Celana katun renda haji dan umroh/Celana Renda Bahan Katun Wanita Premium AL HAJJ,Rp97.500,"2,7RB",AL - HAJJ ,10%,Rp9.750,https://shopee.co.id/product/266544633/18337562902,https://s.shopee.co.id/8KZlSbzJZv
2352039361,Sarung Tangan Sholat Putih Hitam Haji Umroh Muslimah Polos Bordir Perlengkapan Shalat Wanita Katun,Rp27.900,4RB,Abu Sulthan Apparel,12%,Rp3.348,https://shopee.co.id/product/128932173/2352039361,https://s.shopee.co.id/AA1PdysKrI
14096959903,ABA AGENBAJU SAJADAH TRAVEL MOTIF ESTETIK | SAJADAH SOUVENIR HAJI UMROH,Rp9.999,"353,7RB",Agen Baju Official,7%,Rp700,https://shopee.co.id/product/18387484/14096959903,https://s.shopee.co.id/9zhzRfsyCH
23929183693,JUMBO SIZE Kaos Kaki Tawaf Premium Wanita Pria Perlengkapan Haji dan Umroh Hiban Store,Rp51.200,44RB,hiban.store,12%,Rp6.144,https://shopee.co.id/product/137867791/23929183693,https://s.shopee.co.id/AUeG2ar4BO
19581854535,Sajadah Travel Murah | AEM Kiswah | Uk. 60 x 105 | Pouch | Tas | Model Terbaru | Gift | Souvenir Haji | Terlaris | Oleh-Oleh Haji | Umroh | Tipis | Medium,Rp23.000,"34,1RB",pusatsajadah.id,8%,Rp1.840,https://shopee.co.id/product/616501156/19581854535,https://s.shopee.co.id/AKKpqHrhWN
7742796065,Sarung Tangan Panjang Haji dan Umroh Wanita AL HAJJ,Rp28.710,"16,7RB",AL - HAJJ ,10%,Rp2.871,https://shopee.co.id/product/266544633/7742796065,https://s.shopee.co.id/9UliqkusDE
675318896,Sajadah Sujud Turky Mini Izmir Sajadah Anak Mini Grosir Oleh Oleh Haji Umroh,Rp12.000,"7,9RB",nabawi.surabaya,6%,Rp720,https://shopee.co.id/product/8634114/675318896,https://s.shopee.co.id/9KSIeRvVYD
104044510,Kaos Haji Wanita Singlet dan Kaos Renda Wanita Panjang Perlengkapan Haji Umroh Jakarta,Rp55.600,"12,2RB",Nabawi Jakarta,6%,Rp3.336,https://shopee.co.id/product/10956709/104044510,https://s.shopee.co.id/9pOZFMtbXK
19091789876,Sajadah Arbain Suede Besar Ukuran 70 X 110 CM Bahan Suede Premium Halus Lembut Motif Yakar Rawdah Printing Fashion Muslim Perlengkapan Sholat Souvenir Hantaran Pernikahan Oleholeh Umroh Haji,Rp45.500,"9,1RB",Jizanshop,5%,Rp2.275,https://shopee.co.id/product/497053316/19091789876,https://s.shopee.co.id/9f5933uEsJ
21242025025,Sarung Tangan Muslimah Motif Kiswah/Handsock Umroh Dan Haji Model cincin Premium Ori by Alsyahara,Rp37.999,"1,8RB",Eva.Nichol Store,10%,Rp3.800,https://shopee.co.id/product/219354492/21242025025,https://s.shopee.co.id/6AVGsd7Yye
22212713894,Sajadah Motif Black Star & Red Star Travel /Haji/Umroh Pouch Serut,Rp17.950,"75,2RB",sajadah_shop,2%,Rp359,https://shopee.co.id/product/43542423/22212713894,https://s.shopee.co.id/60BqgK8CJd
55052383,Sarung Tangan Haji Umroh Kaos Tangan Panjang Renda/Perlengkapan Haji/Perlengkapan Umroh,Rp11.000,"16,9RB",nabawi.surabaya,6%,Rp660,https://shopee.co.id/product/8634114/55052383,https://s.shopee.co.id/6V87HF6IIk
23712362999,SINGLET KANTONG WANITA / DALAMAN GAMIS PERLENGKAPAN HAJI DAN UMROH,Rp29.900,"9,3RB",LARIS JAYA PUTRI 1979,7%,Rp2.093,https://shopee.co.id/product/563305022/23712362999,https://s.shopee.co.id/6Koh4w6vdj
22368883372,Sarung Tangan Umroh dan Haji Wanita,Rp15.750,"5,9RB",EL-RUMI Official Store,8%,Rp1.260,https://shopee.co.id/product/453933510/22368883372,https://s.shopee.co.id/5VFa5PA6Ka
14516305727,Souvenir Sajadah Suede Muka Travel / Souvenir Tahlil Oleh Oleh Haji,Rp17.000,78RB,TOKO NINA MANDIRI,8%,Rp1.360,https://shopee.co.id/product/14221720/14516305727,https://s.shopee.co.id/5Kw9t6AjfZ
23777204268,Sepatu Tawaf Premium Anti Slip  Pria Dan Wanita Perlengkapan Haji Dan Umroh,Rp75.500,"2,1RB",rev official,5%,Rp3.775,https://shopee.co.id/product/113208579/23777204268,https://s.shopee.co.id/5psQU18peg
2451619620,Kaos Haji Umroh Wanita Saku Resleting Tanpa Lengan Dewasa Bahan Katun Adem Perlengkapan Haji Umroh,Rp28.900,"5,7RB",Al Kahfi Mall Oleh-Oleh Haji,2%,Rp578,https://shopee.co.id/product/63385989/2451619620,https://s.shopee.co.id/5fZ0Hi9Szf
12128300036,SAJADAH TRAVEL/SAJADAH SOUVENIR TAHLILAN/SOUVENIR HAJI DAN SOUVENIR  PESTA FREE POUCH,Rp19.800,12RB,Valerystore,4%,Rp792,https://shopee.co.id/product/38646995/12128300036,https://s.shopee.co.id/7V0eT52UH2
18588884909,PAKET OLEH-OLEH HAJI DAN UMROH PAKET DUS TALI MURAH EKONOMIS,Rp7.100,65RB,zona.muslim1,12%,Rp852,https://shopee.co.id/product/122354931/18588884909,https://s.shopee.co.id/7KhEGm37c1
19141772503,Kaos Kaki Sepatu Tawaf Tinggi Perlengkapan Haji dan Umroh,Rp22.500,"18,8RB",Gema Muslim,2%,Rp450,https://shopee.co.id/product/15650960/19141772503,https://s.shopee.co.id/7pdUrh1Db8
126408308,Sarung Tangan Haji / Umroh Renda Kecil Putih,Rp19.000,"2,5RB",EZPATA.COM,12%,Rp2.280,https://shopee.co.id/product/3634863/126408308,https://s.shopee.co.id/7fK4fO1qw7
22342775868,"farian paket oleh"" haji&umroh",Rp25.000,"10,2RB",syafaad_stor2,8%,Rp2.000,https://shopee.co.id/product/64474329/22342775868,https://s.shopee.co.id/6pkxfr51cy
5254738202,[Ready] Sajadah Box Dewasa AL NAMAZ Oleh Oleh Haji Berkualitas Impor dan Termurah,Rp53.550,"7,6RB",GebyarMurah,8%,Rp4.284,https://shopee.co.id/product/85252294/5254738202,https://s.shopee.co.id/6fRXTY5exx
22350568182,Sarung tangan haji umroh sarung tangan sholat handsock cincin renda premium,Rp11.250,"1,4RB",Ib nesty,6%,Rp675,https://shopee.co.id/product/284998987/22350568182,https://s.shopee.co.id/7ANo4T3kx4
55825061,Kaos Haji Umroh Wanita Tanpa Lengan Bahan Katun Adem/Perlengkapan Haji/Perlengkapan Umroh,Rp30.500,"22,9RB",nabawi.surabaya,6%,Rp1.830,https://shopee.co.id/product/8634114/55825061,https://s.shopee.co.id/704NsA4OI3
23146551770,[MINA] Sajadah Jumbo Premium Embossed Polos Imam Rumbai Tebal Antislip Hadiah Kado Seserahan Parcel Lebaran Haji,Rp65.000,"1,1RB",LILSALA,12%,Rp7.800,https://shopee.co.id/product/89050300/23146551770,https://s.shopee.co.id/3LB5VQILjM
12175266963,Kaos Kaki Wudhu Panjang Muslimah Haji/Umroh Tebal Maligi MBW-01,Rp21.800,3RB,maligisocks,12%,Rp2.616,https://shopee.co.id/product/192892473/12175266963,https://s.shopee.co.id/3VUVhjHiOP
21973893581,Sajadah Kecil Turki Beludru Carpet 35x60cm/ Karishma/ Souvenir Haji Umroh Tahlilan Pernikahan,Rp15.490,"21,1RB",vizalla,4%,Rp620,https://shopee.co.id/product/18817132/21973893581,https://s.shopee.co.id/3fnvu2H53S
972397107,Sepatu Tawaf Towaf Polos Slip/Kaos Kaki Tawaf Polos Wanita Murah Perlengkapan Haji dan Umroh,Rp8.000,"12,6RB",nabawi.surabaya,6%,Rp480,https://shopee.co.id/product/8634114/972397107,https://s.shopee.co.id/3q7M6LGRiV
10848097577,Sajadah Turki Premium Original ALIF GOLD Beludru Halus Dewasa 70x110 cm Souvenir Haji,Rp52.000,"4,2RB",MaenKabehStore,4%,Rp2.080,https://shopee.co.id/product/479049658/10848097577,https://s.shopee.co.id/2fvOiCKt5I
